"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.83046266394247e-34,0.471823675141387,0.999,0.972,4.17345487378883e-32,"1","Siglec-8"
3.26816251433614e-31,0.355546613384574,0.999,0.992,7.45141053268641e-29,"1","Galectin-9"
1.03066900434074e-30,0.384686374075974,1,0.991,2.34992532989689e-28,"1","CD324"
1.50873603378465e-30,0.559478330499515,0.993,0.947,3.439918157029e-28,"1","CD96"
4.47664119310374e-30,0.3590008758573,1,0.989,1.02067419202765e-27,"1","CD202b"
2.83235408565209e-29,0.341411521727729,0.999,0.985,6.45776731528677e-27,"1","Rat-IgG1-2"
5.02683320015603e-27,0.552570534713134,0.98,0.852,1.14611796963558e-24,"1","CD68"
3.65960991891098e-26,0.357362593069053,1,0.989,8.34391061511703e-24,"1","Rat-IgG1-1"
1.47828999244921e-25,0.383065448306602,0.999,0.975,3.37050118278421e-23,"1","CD56-1"
1.23972850689565e-24,0.351029320398462,0.999,0.987,2.82658099572207e-22,"1","CD144"
9.792531943213e-23,0.864133061394523,0.862,0.636,2.23269728305256e-20,"1","CD185"
3.0004158439721e-22,0.36838549272109,0.994,0.96,6.84094812425639e-20,"1","LOX-1"
5.65337850957844e-22,0.265645369089661,0.999,0.992,1.28897030018388e-19,"1","CCR10"
1.55968741074631e-21,0.599632427013555,0.947,0.814,3.55608729650158e-19,"1","CD126"
5.18621372911614e-20,0.392820407565943,0.997,0.958,1.18245673023848e-17,"1","CD338"
2.72807462058714e-17,0.415220987958952,0.987,0.929,6.22001013493867e-15,"1","CD83"
2.04520795208544e-15,0.327174669299395,0.984,0.939,4.6630741307548e-13,"1","CD223"
9.06036698572709e-15,0.250826849420048,0.998,0.975,2.06576367274578e-12,"1","CD243"
5.49349269024047e-13,0.493243012871535,0.918,0.772,1.25251633337483e-10,"1","CD294"
8.33593237614932e-13,0.254598449271344,0.948,0.883,1.90059258176205e-10,"1","Rag-IgG2c"
1.35065313715677e-12,0.266295494684448,0.981,0.917,3.07948915271744e-10,"1","CD24"
3.8317080805888e-12,0.529246898601617,0.8,0.62,8.73629442374246e-10,"1","CD115"
4.82217328638749e-12,0.564821062277761,0.855,0.729,1.09945550929635e-09,"1","CD273"
3.00620452257441e-11,0.481846560932621,0.945,0.812,6.85414631146965e-09,"1","CD30"
5.78434180534291e-11,0.339436527439432,0.91,0.81,1.31882993161818e-08,"1","CD1a"
8.51823369003601e-11,0.256914100620926,0.99,0.951,1.94215728132821e-08,"1","CD45-1"
3.45760108791052e-10,0.340883932917367,0.994,0.968,7.88333048043599e-08,"1","CD357"
1.34738931807913e-09,0.350952623109948,0.864,0.751,3.07204764522042e-07,"1","CD140b"
1.4149778036041e-09,0.264902591485609,0.891,0.824,3.22614939221735e-07,"1","TIGIT"
1.86167841367656e-09,0.313268917271546,0.953,0.867,4.24462678318256e-07,"1","VEGFR-3"
1.91131756854598e-09,0.507313052187857,0.751,0.577,4.35780405628484e-07,"1","Podoplanin"
7.05080147348976e-09,0.286011625220666,0.98,0.922,1.60758273595567e-06,"1","CD154"
1.46553994056719e-08,0.293640756005986,0.997,0.994,3.34143106449319e-06,"1","CD279"
1.81391000152562e-08,0.31968639964051,0.93,0.816,4.13571480347841e-06,"1","CD319"
2.88100991186327e-08,0.259098184395384,0.94,0.861,6.56870259904825e-06,"1","CD235ab"
4.93441155875477e-08,0.438540151041123,0.887,0.817,1.12504583539609e-05,"1","CD117"
1.4218159477291e-07,0.294200385666838,0.974,0.927,3.24174036082235e-05,"1","CD90"
1.40079881354616e-06,0.414141880065587,0.884,0.811,0.000319382129488525,"1","CD161"
3.108758991185e-06,0.28060693596481,0.856,0.76,0.00070879704999018,"1","CD307d"
3.34946156833774e-06,0.393946885060582,0.932,0.891,0.000763677237581006,"1","CD146"
5.29388333722291e-06,0.357491339239853,0.821,0.707,0.00120700540088682,"1","CD158f"
1.17777710829932e-05,0.309195580484924,0.76,0.658,0.00268533180692246,"1","CD137"
4.82080373207715e-05,0.337803305480001,0.785,0.672,0.0109914325091359,"1","Rat-IgG2b"
0.000666687483634382,0.268024074575368,0.68,0.595,0.152004746268639,"1","CD309"
0.00355830562641836,0.286323223610391,0.719,0.629,0.811293682823386,"1","CD284"
0.00623222758081168,0.262395842723148,0.856,0.767,1,"1","CD105"
1.65284683256757e-139,1.1347333580115,1,1,3.76849077825406e-137,"2","CD307e"
3.45708592963189e-137,0.943329218041005,1,1,7.88215591956071e-135,"2","CD109"
7.56645118541278e-124,1.140553837922,0.999,0.978,1.72515087027411e-121,"2","CD106"
