"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.34955371732281e-19,0.381110210618034,0.999,0.956,1.6756982475496e-16,"3","CD110"
1.28105517028564e-18,0.289104769126743,0.998,0.927,2.92080578825126e-16,"3","CD83"
1.7014506308755e-18,0.261693130552183,1,0.985,3.87930743839615e-16,"3","Rat-IgG1-2"
1.33337906664623e-17,0.385343711541033,0.994,0.86,3.0401042719534e-15,"3","CD123"
4.41547081872306e-16,0.30494222407598,0.998,0.938,1.00672734666886e-13,"3","CD223"
1.5412562479761e-15,0.254497416764725,1,0.992,3.51406424538552e-13,"3","CCR10"
5.47164944377078e-15,0.398311037268812,0.981,0.81,1.24753607317974e-12,"3","CD126"
1.70808029055849e-14,0.379344819051754,0.958,0.742,3.89442306247337e-12,"3","CD140b"
3.04252473448069e-14,0.348660933291578,0.933,0.696,6.93695639461597e-12,"3","CD158f"
1.5603452988232e-13,0.379422895061253,0.989,0.863,3.5575872813169e-11,"3","VEGFR-3"
1.77079279985658e-13,0.261067367583839,1,0.979,4.03740758367301e-11,"3","CD54"
1.94648611570488e-11,0.687701212138231,0.953,0.792,4.43798834380712e-09,"3","CD169"
6.10117757695864e-11,0.285912027301926,0.996,0.92,1.39106848754657e-08,"3","CD154"
1.16604315385387e-10,0.752938371342978,0.328,0.138,2.65857839078683e-08,"3","TSLPR"
2.38264956670085e-10,0.320872372956018,0.993,0.879,5.43244101207793e-08,"3","CD274"
5.19586802344464e-09,0.279415008763732,0.989,0.879,1.18465790934538e-06,"3","Rag-IgG2c"
1.48551202455647e-08,0.284114152344003,0.972,0.797,3.38696741598874e-06,"3","CD192"
1.23926893138189e-07,0.25930691206129,0.899,0.661,2.82553316355071e-05,"3","Rat-IgG2b"
5.62683638512723e-07,0.279022057505828,0.947,0.751,0.000128291869580901,"3","CD307d"
1.47735212004405e-05,0.268909686623822,0.985,0.857,0.00336836283370043,"3","CD235ab"
3.67139579263488e-137,1.143295763246,1,1,8.37078240720754e-135,"4","CD307e"
6.26286500685909e-136,0.949691695686594,1,1,1.42793322156387e-133,"4","CD109"
1.54499281288834e-122,1.14768026335442,0.999,0.978,3.52258361338542e-120,"4","CD106"
1.23390299075028e-120,0.976490674720401,1,0.99,2.81329881891065e-118,"4","CD209"
2.17343738972674e-106,1.3511815911642,1,0.864,4.95543724857698e-104,"4","CD4-2"
2.03885701458357e-102,0.837673449694246,1,0.999,4.64859399325053e-100,"4","CD3-2"
5.8409435295771e-98,0.909894458503831,1,1,1.33173512474358e-95,"4","CD27"
2.62555096179944e-94,0.590165190230807,1,1,5.98625619290273e-92,"4","CD4-1"
7.22678169728084e-88,0.965033577006775,0.999,0.982,1.64770622698003e-85,"4","CD45RB"
6.370399333891e-82,0.677231058037991,1,0.999,1.45245104812715e-79,"4","TCR-2"
1.69000678984314e-73,0.778609560391888,1,0.998,3.85321548084236e-71,"4","CD3-1"
4.21904624380071e-70,0.767074220280419,0.992,0.955,9.61942543586561e-68,"4","GP130"
4.02260551516632e-63,0.678729358014864,1,0.992,9.17154057457922e-61,"4","CD278"
1.68139249146736e-55,0.559390722790044,1,0.999,3.83357488054558e-53,"4","CD28"
3.71266068060873e-41,0.534326624088606,0.999,0.995,8.46486635178791e-39,"4","CD26-2"
1.11875634746447e-38,0.27420462780933,1,1,2.550764472219e-36,"4","CD52"
4.28725581390707e-31,0.541245145698571,1,0.996,9.77494325570813e-29,"4","CD127"
8.75654529659564e-21,0.451846134718917,0.993,0.991,1.99649232762381e-18,"4","CD45RA"
4.88185945638393e-20,0.295736083687428,0.99,0.987,1.11306395605554e-17,"4","CD200"
2.9687659229577e-15,0.428610861980514,0.88,0.819,6.76878630434355e-13,"4","CD126"
1.93372378332589e-12,0.331854554319062,0.972,0.949,4.40889022598304e-10,"4","CD96"
5.29337632825505e-10,0.438623802656725,1,0.998,1.20688980284215e-07,"4","CD2"
0.00105517032223616,0.251547329312666,0.856,0.887,0.240578833469844,"4","CD303"
6.27683462328456e-112,1.0507408226852,1,1,1.43111829410888e-109,"5","CD8a"
2.61711072160888e-100,1.53306764927036,0.998,0.989,5.96701244526824e-98,"5","CD8"
1.32069691596256e-82,0.48968196156851,1,1,3.01118896839464e-80,"5","CD57"
1.01095457166579e-70,0.31662047685664,1,1,2.30497642339801e-68,"5","CD43"
7.32322672260915e-69,0.771681548740536,1,0.997,1.66969569275489e-66,"5","CD314"
1.02247069708852e-56,0.630321190622671,1,0.998,2.33123318936183e-54,"5","CD2"
1.10969126486536e-54,0.678102260449708,1,0.999,2.53009608389302e-52,"5","CD3-2"
5.35762608300454e-48,0.659919183945525,1,0.998,1.22153874692504e-45,"5","CD3-1"
8.47902164354364e-47,0.335961327750107,1,1,1.93321693472795e-44,"5","CD99"
1.86406474570813e-45,0.624330955339882,0.993,0.99,4.25006762021454e-43,"5","CD271"
4.56431903425248e-37,1.06555201476209,0.904,0.824,1.04066473980957e-34,"5","TIGIT"
1.54000275866409e-34,0.292945062525594,1,1,3.51120628975412e-32,"5","CD49d"
1.87099964730475e-33,0.312127772086034,1,1,4.26587919585484e-31,"5","CD81"
2.62436675844045e-30,0.386881800623178,0.999,0.999,5.98355620924422e-28,"5","TCR-2"
2.480607923221e-21,0.43407305586714,0.992,0.995,5.65578606494389e-19,"5","CD279"
2.50482706904325e-19,0.30701534479297,1,1,5.71100571741861e-17,"5","CD244"
7.57851303630398e-15,0.447299129970304,0.916,0.913,1.72790097227731e-12,"5","CD307c/FcRL3"
2.24960450593619e-14,0.35158749060089,0.992,0.982,5.1290982735345e-12,"5","CD45RB"
1.48942238493769e-13,0.303663130767503,0.986,0.961,3.39588303765793e-11,"5","TIM-4"
1.44192884113881e-10,0.328604515973274,0.989,0.991,3.28759775779649e-08,"5","CD45RA"
5.59695826325637e-09,0.301352315563275,0.958,0.95,1.27610648402245e-06,"5","CD96"
3.92248372687626e-08,0.454102829424351,0.998,0.999,8.94326289727786e-06,"5","CD158e1"
3.34274578663693e-07,0.352424004224755,0.954,0.97,7.6214603935322e-05,"5","CD158b"
4.77652243625787e-147,1.20250830405251,1,1,1.08904711546679e-144,"6","CD307e"
1.29375561060046e-143,1.00875034330715,1,1,2.94976279216904e-141,"6","CD109"
3.01868281638921e-138,1.30277401946759,1,0.978,6.8825968213674e-136,"6","CD106"
4.68308390089635e-138,1.13540841325955,1,0.99,1.06774312940437e-135,"6","CD209"
3.31160581367311e-119,0.973754253253049,1,0.994,7.55046125517468e-117,"6","CD45RO"
4.05416209640218e-118,0.618928780995068,1,1,9.24348957979698e-116,"6","CD4-1"
6.18463151967418e-112,0.77986098240685,1,0.999,1.41009598648571e-109,"6","CD28"
1.17870166579515e-108,1.36397465998737,1,0.865,2.68743979801293e-106,"6","CD4-2"
1.18713207329393e-98,0.753431297076386,1,0.998,2.70666112711016e-96,"6","CD2"
8.40273204515474e-91,0.920821668427358,1,0.996,1.91582290629528e-88,"6","CD127"
2.66152287727038e-72,0.973980441363054,0.999,0.995,6.06827216017646e-70,"6","CD26-2"
