"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.79540719792041e-74,1.14301498820367,1,0.996,3.19726113805666e-70,"0","FTH1"
2.12058487047664e-73,0.838945261143352,1,0.997,3.7763375373448e-69,"0","ACTB"
2.75140273483555e-73,1.58549530465818,0.983,0.353,4.89969799019515e-69,"0","FGL2"
7.87276687220889e-73,1.92565040883742,0.883,0.258,1.40198232460296e-68,"0","CPVL"
1.86444078008804e-72,1.54252896374643,0.941,0.517,3.32019614118079e-68,"0","ATP6V0B"
6.07445695195892e-72,1.62147761300187,0.923,0.295,1.08173929400484e-67,"0","NCF2"
1.39117910022077e-71,1.92891236699529,0.877,0.279,2.47741174167315e-67,"0","CFP"
1.64559685499581e-70,1.47043816548296,0.945,0.373,2.93047887937653e-66,"0","NAMPT"
2.06286444484218e-70,1.42143165062559,0.98,0.504,3.67354900337496e-66,"0","HLA-DRB1"
2.09292873192939e-70,1.45417320450451,0.954,0.524,3.72708748581985e-66,"0","ANXA2"
7.29874687957561e-70,1.16752360382379,0.998,0.874,1.29976084431482e-65,"0","JUNB"
8.30076831740768e-70,1.80436893215234,0.918,0.34,1.47820082196396e-65,"0","RNF130"
3.58511680839046e-69,1.88300184725574,0.873,0.283,6.38437601238173e-65,"0","TNFSF13B"
5.36902913448167e-69,1.31567668268194,0.984,0.857,9.56116708268495e-65,"0","S100A10"
8.93296435969526e-69,2.04454890163586,0.868,0.339,1.59078229317453e-64,"0","RGS2"
1.19877462730156e-68,1.40541305901686,0.962,0.627,2.13477785629861e-64,"0","MCL1"
4.47080277478056e-68,2.14628203520511,0.828,0.246,7.96160558132922e-64,"0","TIMP2"
4.69824684692114e-68,1.184644436771,1,0.791,8.36663798499717e-64,"0","SRGN"
8.12473020715646e-68,1.53194987643362,0.954,0.487,1.44685195529042e-63,"0","PYCARD"
1.34626526872167e-67,1.56066379620602,0.925,0.479,2.39742919053955e-63,"0","GLIPR1"
1.74853744826678e-67,2.71346359795597,0.721,0.172,3.11379548787348e-63,"0","RBP7"
6.58214955382877e-67,1.36742527771437,0.928,0.536,1.17214919254583e-62,"0","FKBP1A"
7.64957972095001e-67,2.7650707112034,0.665,0.145,1.36223715670678e-62,"0","MGST1"
1.06013194567625e-66,1.23576239787312,0.999,0.714,1.88788296886026e-62,"0","SAT1"
3.37226016026141e-66,1.47505613921578,1,0.728,6.00532089339352e-62,"0","CTSS"
