"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.50326699868376e-69,1.67774392336508,0.904,0.306,1.3361817871256e-64,"19","DPYSL2"
1.69725412638948e-67,2.163565092362,0.722,0.15,3.02247014827439e-63,"19","PHACTR1"
3.92979636920929e-65,1.16526296368071,0.998,0.498,6.99818137428791e-61,"19","AP1S2"
2.53953649558107e-64,3.58120879534246,0.55,0.072,4.52240659133076e-60,"19","LMNA"
8.20053508833047e-64,5.0171587165911,0.478,0.016,1.46035128852989e-59,"19","FLT3"
8.87831185164549e-63,2.96194891787619,0.573,0.073,1.58104977454103e-58,"19","ALCAM"
1.11271006494783e-62,1.09441810492702,0.983,0.513,1.98151408365909e-58,"19","GLIPR1"
1.46925132192163e-62,1.98407020227252,0.745,0.186,2.61644275407803e-58,"19","SPECC1"
1.81387403017434e-62,3.50616742747933,0.497,0.045,3.23014687293446e-58,"19","UPK3A"
2.5483609642848e-62,1.82278037271156,0.741,0.184,4.53812120519837e-58,"19","SHTN1"
1.82196112701945e-61,0.726047137839849,0.995,0.538,3.24454837499624e-57,"19","FOS"
2.11915780995627e-61,1.01301290559961,0.82,0.233,3.77379622797012e-57,"19","IFI30"
1.72534260483058e-60,2.88752199039618,0.616,0.082,3.0724901106823e-56,"19","RTN1"
1.89227728276143e-60,2.04770106599857,0.7,0.158,3.36976738514156e-56,"19","PEA15"
2.01704481723824e-60,1.17790027127196,0.946,0.327,3.59195341053785e-56,"19","TNFSF13B"
7.46409838386998e-60,2.3488323006866,0.666,0.125,1.32920664019957e-55,"19","FABP5"
1.01709208050101e-59,5.00852546891856,0.429,0.013,1.81123757695619e-55,"19","CLIC2"
4.35785090050946e-59,1.85695335405668,0.682,0.158,7.76046088362724e-55,"19","SEMA4A"
4.44976266410328e-59,1.00140259276338,0.991,0.401,7.92413735223512e-55,"19","FGL2"
4.67799973180264e-59,1.02850333543203,0.997,0.747,8.33058192239415e-55,"19","ANXA1"
7.0647270452424e-59,1.30902301628756,0.84,0.273,1.25808659221677e-54,"19","RAB31"
1.05322837842567e-58,1.92285085668496,0.803,0.268,1.87558909630043e-54,"19","MAT2A"
2.53295610167296e-58,2.21537003451697,0.637,0.13,4.5106882258592e-54,"19","PID1"
3.05349329465243e-58,3.2776747137837,0.54,0.063,5.43766085911705e-54,"19","FCGR2B"
4.05110481613841e-58,1.09496789895358,0.983,0.363,7.21420745657927e-54,"19","SPI1"
9.31560658320916e-58,1.26886406255594,0.96,0.456,1.65892322033789e-53,"19","PLEKHO1"
1.29881107402733e-57,0.810400963370149,0.997,0.395,2.31292276062787e-53,"19","MNDA"
2.6044538296319e-57,1.96687819683817,0.598,0.125,4.63801137980849e-53,"19","HDAC9"
1.44686365595504e-56,0.743680481009829,0.961,0.408,2.57657479852474e-52,"19","CEBPD"
1.60528984213117e-56,0.73923016870403,0.995,0.491,2.85870015086718e-52,"19","LST1"
1.66491085926808e-56,0.920557118249615,0.997,0.696,2.96487325818459e-52,"19","PRELID1"
2.98639949590858e-56,1.89838060359722,0.748,0.197,5.318180222314e-52,"19","CD86"
6.88031949245405e-56,1.63349853948966,0.679,0.188,1.22524729521622e-51,"19","KLF4"
1.26895809015498e-55,1.77276892677935,0.739,0.322,2.25976056694798e-51,"19","MS4A6A"
1.64807329181025e-55,0.967937102293607,0.991,0.453,2.93488891805569e-51,"19","TYMP"
1.7867639108107e-55,1.72474843782499,0.71,0.175,3.1818691723717e-51,"19","FES"
1.45949621398229e-54,0.793316232118704,1,0.964,2.59907085785966e-50,"19","S100A6"
1.76018498259092e-54,3.89026825215113,0.433,0.025,3.13453741699791e-50,"19","ATP1B1"
4.78325667126005e-54,1.30723485411382,0.884,0.33,8.5180234801799e-50,"19","LGALS9"
5.19709929296113e-54,1.56618096981285,0.789,0.225,9.25499442090519e-50,"19","ZNF385A"
5.37773107981405e-54,1.01092216438846,0.84,0.27,9.57666350693286e-50,"19","PLBD1"
1.94472432388937e-53,1.08584140367403,0.938,0.396,3.4631650759822e-49,"19","LGALS3"
2.14158507275789e-53,1.2666716240156,0.811,0.3,3.81373469756725e-49,"19","SULF2"
3.64053196918387e-53,1.45159885929374,0.851,0.306,6.48305933072263e-49,"19","LAP3"
4.02702087099636e-53,1.11125985559417,0.922,0.346,7.17131876707032e-49,"19","BLVRB"
9.13108884992921e-53,0.761353588072321,0.998,0.55,1.62606430239539e-48,"19","AIF1"
1.36253511238092e-52,0.646458351862301,1,0.969,2.42640252812794e-48,"19","OAZ1"
1.4123357384767e-52,1.13710072417734,0.876,0.386,2.51508748307931e-48,"19","RAB11FIP1"
1.60549918751494e-52,1.0739914827108,0.947,0.437,2.8590729531266e-48,"19","CASP1"
4.63695814429915e-52,1.11595406205263,0.969,0.476,8.25749506336793e-48,"19","TIMP1"
8.13505109799097e-52,0.827075329860357,0.992,0.726,1.44868989953023e-47,"19","TSPO"
1.34421114276412e-51,2.00574078710049,0.663,0.16,2.39377120303435e-47,"19","CSF2RA"
1.40708363857356e-51,0.467355249710125,1,0.996,2.50573454357179e-47,"19","FTH1"
2.80778329966457e-51,1.34454231009827,0.781,0.243,5.00010050004267e-47,"19","RASSF4"
2.87828285855285e-51,1.19781589082769,0.761,0.226,5.12564611451092e-47,"19","ETS2"
3.53522848349351e-51,1.95141707169245,0.587,0.133,6.29553488340523e-47,"19","IMPA2"
1.09060328388276e-50,2.15071813317306,0.604,0.138,1.94214632793843e-46,"19","F13A1"
2.76803302491775e-50,1.13829309092543,0.925,0.331,4.92931321077353e-46,"19","MEF2C"
2.87711594133201e-50,1.80322967310381,0.671,0.174,5.12356806832404e-46,"19","RUFY3"
3.69369414947702e-50,0.955100078779888,1,0.475,6.57773054138867e-46,"19","FCER1G"
9.20650942050391e-50,1.27815113717762,0.699,0.222,1.63949519760334e-45,"19","FOSB"
1.08046539052371e-49,2.98582196625961,0.525,0.048,1.92409276744462e-45,"19","HLA-DOA"
1.56138881257991e-49,1.40422827706393,0.733,0.237,2.78052119744231e-45,"19","JAK2"
1.75549766073394e-49,1.94019504012342,0.689,0.201,3.126190234235e-45,"19","BASP1"
2.48151867403582e-49,1.4394712594916,0.734,0.21,4.41908845472299e-45,"19","CSF1R"
4.4566405684103e-49,1.26564283327907,0.856,0.304,7.93638552422506e-45,"19","SYK"
5.13202904813151e-49,0.487239303235069,1,0.991,9.1391173289126e-45,"19","H3F3A"
1.14468587170248e-48,1.21221790861614,0.91,0.469,2.03845660032777e-44,"19","HERPUD1"
1.23115286494866e-48,0.987529700830124,0.983,0.566,2.19243702190058e-44,"19","FKBP1A"
1.81655358891963e-48,2.43658720526527,0.512,0.084,3.23491863114807e-44,"19","DST"
2.01030314716435e-48,6.83398965544416,0.368,0.003,3.57994784447028e-44,"19","PKIB"
4.10005106068459e-48,1.12997290584255,0.804,0.264,7.30137092886711e-44,"19","PLXDC2"
4.52097700648383e-48,0.442300427381777,1,1,8.05095585314641e-44,"19","TMSB4X"
4.5633649248338e-48,1.04125118574753,0.834,0.28,8.12644025814403e-44,"19","CD302"
9.69938782978081e-47,0.994547127546195,0.978,0.523,1.72726698472737e-42,"19","PYCARD"
1.466497660912e-46,1.13529230518485,0.668,0.222,2.61153903455208e-42,"19","KIAA0930"
2.69740893946967e-46,2.05606303419666,0.506,0.102,4.80354583940759e-42,"19","HBEGF"
3.82351621395138e-46,0.743208771624436,1,0.94,6.80891767380463e-42,"19","S100A4"
3.97069185101697e-46,1.23438908845664,0.817,0.306,7.07100804829103e-42,"19","GNAQ"
4.23822035684899e-46,2.51745256388958,0.484,0.072,7.54742281147668e-42,"19","BATF3"
1.2233786873824e-45,6.98169539775857,0.326,0.003,2.17859276649058e-41,"19","CD1E"
7.72800349539878e-45,1.04938487876016,0.852,0.329,1.37620286246062e-40,"19","KLF10"
1.02140483362251e-44,1.24540769053132,0.778,0.281,1.81891772771496e-40,"19","ITGAX"
1.37946583936575e-44,0.699910154059971,0.997,0.867,2.45655276674253e-40,"19","CALM2"
2.68588524851656e-44,1.5013931677018,0.733,0.239,4.7830244505583e-40,"19","C20orf27"
5.81757467022704e-44,1.16043790908017,0.671,0.218,1.03599369727403e-39,"19","NR4A1"
9.37760006590253e-44,1.18771153963158,0.821,0.304,1.66996301973592e-39,"19","CRTAP"
9.74545271952719e-44,1.02080573536287,0.908,0.39,1.7354702202934e-39,"19","TPP1"
1.22605089899108e-43,1.58070116117023,0.564,0.094,2.18335144092331e-39,"19","ADAM28"
2.1672869123567e-43,1.70449351670705,0.542,0.139,3.85950453352481e-39,"19","MAP3K20"
2.26774821180692e-43,1.36248450975755,0.72,0.242,4.03840601558577e-39,"19","DAPP1"
2.66966332209718e-43,1.533232266669,0.71,0.198,4.75413644399066e-39,"19","SLC8A1"
9.96497275968607e-43,1.08075205376864,0.899,0.375,1.7745623490449e-38,"19","BID"
1.60416445162989e-42,1.27390097910713,0.798,0.322,2.85669605546251e-38,"19","GPR183"
7.19584850493389e-42,0.70246230804134,0.998,0.746,1.28143670175863e-37,"19","S100A11"
